Dataset,Evalation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value
H3K27ac H1-hESC,SDPM,Variance stabilization,1,Inf,0,1.00E+05,step,-1.523322264
H3K27ac H1-hESC,SDPM,Variance stabilization,2,1,7,1.00E+05,step,-1.523322264
H3K27ac H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,1.00E+05,step,-1.523322264
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,-1.523322264
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,-1.523442362
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,-1.523128466
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,-1.540533533
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,1.00E+05,step,-1.505082606
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000000069,1.00E+07,66438562,1.00E+05,step,-1.495422187
H3K27ac H1-hESC,SDPM,Variance stabilization,1,Inf,0,10000,step,-1.535764027
H3K27ac H1-hESC,SDPM,Variance stabilization,2,1,7,10000,step,-1.535764027
H3K27ac H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,10000,step,-1.534475053
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,10000,step,-1.533337632
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,10000,step,-1.528326897
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,10000,step,-1.517634943
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,10000,step,-1.46897768
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000000693,1.00E+06,6643857,10000,step,-1.501440088
H3K27ac H1-hESC,SDPM,Variance stabilization,1.000000069,1.00E+07,66438562,10000,step,-1.495386858
H3K27ac H1-hESC,log(x+1),Variance stabilization,1,Inf,0,1000,step,-1.485111935
H3K27ac H1-hESC,asinh(x),Variance stabilization,1,Inf,0,1000,step,-1.633932722
H3K27ac H1-hESC,No transformation,Variance stabilization,1,Inf,0,1000,step,-1.642332764
H3K27me3 H1-hESC,SDPM,Variance stabilization,1,Inf,0,1.00E+05,step,-2.65172876
H3K27me3 H1-hESC,SDPM,Variance stabilization,2,1,7,1.00E+05,step,-2.65172876
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.002313162,300,1994,1.00E+05,step,-2.65172876
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000693387,1000,6644,1.00E+05,step,-2.65172876
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000231076,3000,19932,1.00E+05,step,-2.655451497
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000069317,10000,66439,1.00E+05,step,-2.653116693
H3K27me3 H1-hESC,SDPM,Variance stabilization,1.000006931,1.00E+05,664386,1.00E+05,step,-2.33213248
